ID;Title;Authors;Publish Date (Year);Category
82087;American Heritage  First Dictionary;American Heritage Publishing Company (EDT);1994;
90878;!Trato hecho!: Spanish for Real Life, Combined Edition;McMinn, John T., Hemmer, Robert A., and Vigil, Virginia D.;1995; Foreign Language Study , Spanish
57223;$100 to $1,000 Makeovers: Maximizing Your Decorating Dollars (Trading Spaces);Kramer, Brian (EDT);2004; Performing Arts , Television , General
53692;$14 In the Bank and a $200 Face in My Purse;Guisewite, Cathy;1990; Humor , General
64454;(In)Justice for Juveniles: Rethinking the Best Interests of the Child;Schwartz, Ira M.;1998; Social Science , Criminology
74241;(Lady Susan / The Watsons / Sanditon);Austen, Jane and Drabble, Margaret.;1975; Fiction , Short Stories (single author)
41739;*Chemistry Student Gde S/G;BROWN/HILL;1991;
17243;*THE GAMES DO COUNT*: America's Best and Brightest on the Power of Sports;Kilmeade, Brian;2004; Self-help , Motivational & Inspirational
12695;...and the Horse He Rode In On: The People V. Kenneth Starr;Carville, James;1998; Political Science , Government , General
49533;...And Then God Created Cat;Morrison, Tomi;2000;
80349;...Hearts and Minds Will Follow!;Bruce N. Ey;2007;
54173;...It Is No Dream! Bible Prophecy: Fact or Fanaticism?;McQuaid, Elwood;1978; Religion , Biblical Studies , Prophecy
15061;...Sweet river in the morning,: A novel;Clewes, Winston;1946;
3526;.hack//Legend of the Twilight, Vol. 2;Hamazaki, Tatsuya (CRT) and Idumi, Rei (ILT);2003; Young Adult Fiction , Comics & Graphic Novels , Manga
6293;.Hack: //Legend of the Twilight, Vol. 1;Hamazaki, Tatsuya (CRT) and Idumi, Rei (ILT);2003; Young Adult Fiction , Comics & Graphic Novels , General
85313;�Ven conmigo!: Student Edition Level 2 2000;Ozete, Oscar and Humbach, Nancy A.;1998; Young Adult Nonfiction , Foreign Language Study , General
99831;�Qu� Pas�?: An English-Spanish Guide for Medical Personnel;Kantrowitz, Martin P.;1984; Language Arts & Disciplines , Reference
46346;001: I Am Your Jesus of Mercy - Yo Soy Tu Jesus De Misericordia: Sept. 1988 - Sept. 1989;Editors;1989; Religion , General
